ds,y
7/31/2025,2227.67
7/31/2025,387.1
7/31/2025,1911
7/31/2025,1655.29
7/31/2025,203162
7/31/2025,734.19
7/31/2025,3475.98
7/31/2025,107.57
7/31/2025,1563.63
7/31/2025,823.39
7/31/2025,375.28
7/31/2025,839.08
7/31/2025,6982.21
7/31/2025,30306.05
7/31/2025,2195.63
7/31/2025,104.44
7/31/2025,49.36
7/31/2025,1114
7/30/2025,109.62
7/30/2025,218.24
7/30/2025,10312.22
7/30/2025,102.15
7/30/2025,554.23
7/30/2025,84138
7/30/2025,816.3
7/30/2025,2771.17
7/30/2025,106
7/30/2025,99.08
7/30/2025,149.26
7/30/2025,313148
7/30/2025,101.81
7/30/2025,4732.52
7/30/2025,559185
7/30/2025,233.63
7/30/2025,319.44
7/30/2025,675.29
7/30/2025,107
7/30/2025,539.4
7/30/2025,401.29
7/30/2025,998.63
7/30/2025,1239.61
7/30/2025,4109
7/30/2025,13.44
7/30/2025,257.82
7/29/2025,223.6
7/29/2025,26.26
7/29/2025,229.29
7/29/2025,14.3
7/29/2025,121.63
7/29/2025,1109.82
7/29/2025,1114
7/29/2025,1291.96
7/29/2025,106.94
7/29/2025,18.1
7/29/2025,48.33
7/29/2025,1057.36
7/29/2025,1792.62
7/29/2025,33.19
7/29/2025,69.84
7/29/2025,9797102
7/29/2025,1157.6
7/29/2025,851.52
7/29/2025,619.08
7/29/2025,467.33
7/29/2025,34.92
7/29/2025,792.08
7/29/2025,107.89
7/29/2025,98306.98
7/29/2025,266.34
7/29/2025,2219.64
7/29/2025,183.82
7/29/2025,34736.34
7/29/2025,338.24
7/29/2025,27.32
7/29/2025,11.57
7/29/2025,1132.23
7/29/2025,121.58
7/29/2025,13419
7/29/2025,1506.06
7/29/2025,427.8
7/29/2025,125.37
7/29/2025,1413.54
7/29/2025,569.72
7/29/2025,7014
7/29/2025,2106
7/29/2025,1392.64
7/29/2025,324.05
7/29/2025,215.61
7/29/2025,103182
7/29/2025,288.52
7/29/2025,78.95
7/29/2025,608.1
7/29/2025,9440187
7/29/2025,608.1
7/29/2025,78.95
7/29/2025,288.52
7/28/2025,157.39
7/28/2025,966.19
7/28/2025,78.7
7/28/2025,2415.54
7/28/2025,1605.91
7/28/2025,305132
7/28/2025,447.68
7/28/2025,910
7/25/2025,104429.92
7/25/2025,39041.72
7/25/2025,50443.86
7/25/2025,7382117
7/25/2025,414.03
7/25/2025,1245.39
7/25/2025,36014.9
7/25/2025,45467.42
7/25/2025,39541.53
7/25/2025,43966.13
7/25/2025,402.04
7/25/2025,936.2
7/25/2025,6019.84
7/25/2025,99122
7/25/2025,14971.79
7/25/2025,1776.02
7/25/2025,1379.83
7/25/2025,391.16
7/25/2025,32.53
7/25/2025,231.98
7/25/2025,73.18
7/25/2025,205.14
7/25/2025,1782.59
7/25/2025,26.73
7/25/2025,264.29
7/25/2025,122.95
7/25/2025,228.66
7/25/2025,1163.32
7/25/2025,6851.1
7/25/2025,31445.47
7/25/2025,11208.05
7/25/2025,24.91
7/25/2025,147.53
7/25/2025,498.2
7/25/2025,597.51
7/25/2025,177.3
7/25/2025,2291.62
7/25/2025,60149
7/25/2025,1005.46
7/25/2025,28.17
7/25/2025,14184
7/25/2025,6.02
7/25/2025,1434.46
7/25/2025,303.62
7/25/2025,1742.88
7/25/2025,1302.17
7/25/2025,332.83
7/25/2025,326.54
7/25/2025,157.08
7/25/2025,2216
7/25/2025,1152.27
7/25/2025,293.01
7/25/2025,1538.9
7/25/2025,101.19
7/25/2025,1355.97
7/25/2025,15.47
7/25/2025,15.74
